기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,3,8900,26700
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,2,8900,17800
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,2,5200,10400
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,2,5200,10400
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,2,5200,10400
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,2,5200,10400
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,3,5200,15600
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103805,아이올리베이컨토마토샌드위치,1,8900,8900
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,2,8900,17800
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,2,8900,17800
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,2,7900,15800
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,2,7900,15800
2026-07-25,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,100003,담백식빵,0,7800,0
2026-07-25,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,100004,리치식빵,0,8400,0
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,2,6500,13000
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,3,3900,11700
2026-07-07,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,1,3900,3900
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,4,7500,30000
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103395,게랑드소금식빵,3,7200,21600
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103395,게랑드소금식빵,3,7200,21600
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103395,게랑드소금식빵,1,7200,7200
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103395,게랑드소금식빵,1,7200,7200
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103395,게랑드소금식빵,2,7200,14400
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,6,7200,43200
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,5,7200,36000
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,2,7200,14400
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,3,7200,21600
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,3,7800,23400
